,uid,title,authors,researcherIds,pubyear,source_title,volume,page_start,page_end,page_count,doi,issn,eissn,isbn,citation_counts,author_keywords,record_links,citing_links,reference_links,related_links
0,WOS:A1978FT34300005,LANDSCAPED CAMPUS SITE HUMANIZES LIFE FOR ELDERLY,"SMART, JD",FYX-7131-2022,1978,HOSPITALS,52,75,&,0,,0018-5973,,,0,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:A1978FT34300005&DestLinkType=FullRecord&DestApp=WOS_CPL,,,
1,WOS:A1992JH71700003,THE PRISTINE MYTH - THE LANDSCAPE OF THE AMERICA IN 1492,"DENEVAN, WM",ESD-1505-2022,1992,ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS,82,369,385,17,10.1111/j.1467-8306.1992.tb01965.x,0004-5608,1467-8306,,931,"pristine myth; 1492; columbus, native american settlement and demography; prehistoric new world; vegetation change; earthworks",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:A1992JH71700003&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:A1992JH71700003&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:A1992JH71700003&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:A1992JH71700003&DestLinkType=RelatedRecords&DestApp=WOS_CPL
2,WOS:A1996UK81200005,Landscapes without peasants,"Prado, P",IHD-6041-2023,1996,HOMME,36,111,120,18,,0439-4216,,,0,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:A1996UK81200005&DestLinkType=FullRecord&DestApp=WOS_CPL,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:A1996UK81200005&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:A1996UK81200005&DestLinkType=RelatedRecords&DestApp=WOS_CPL
3,WOS:A1997WD25200006,Incremental agroforestry: Enriching Pacific landscapes,"Clarke, WC; Thaman, RR",HWS-5742-2023; EAS-9162-2022,1997,CONTEMPORARY PACIFIC,9,121,148,28,,1043-898X,1527-9464,,12,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:A1997WD25200006&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:A1997WD25200006&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:A1997WD25200006&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:A1997WD25200006&DestLinkType=RelatedRecords&DestApp=WOS_CPL
4,WOS:000075020300018,Autonomous development. Humanizing the landscape: An excursion into radical thinking and practice.,Savyasachi,HWM-7416-2023,1998,CONTRIBUTIONS TO INDIAN SOCIOLOGY,32,140,140,1,10.1177/006996679803200117,0069-9659,0973-0648,,0,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000075020300018&DestLinkType=FullRecord&DestApp=WOS_CPL,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000075020300018&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000075020300018&DestLinkType=RelatedRecords&DestApp=WOS_CPL
5,WOS:000075608300011,Humanized nature. The meaning of landscape and weather in the English novel from Ann Radcliffe to Thomas Hardy,"Wolf, W",EGL-8121-2022,1998,GERMANISCH-ROMANISCHE MONATSSCHRIFT,48,120,127,8,,0016-8904,,,0,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000075608300011&DestLinkType=FullRecord&DestApp=WOS_CPL,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000075608300011&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000075608300011&DestLinkType=RelatedRecords&DestApp=WOS_CPL
6,WOS:000075183900005,The myth of the humanized landscape: An example from Yosemite National Park,"Vale, TR",DZZ-7688-2022,1998,NATURAL AREAS JOURNAL,18,231,236,6,,0885-8608,,,65,natural landscape; humanized landscape; yosemite national park; social ideology,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000075183900005&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000075183900005&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000075183900005&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000075183900005&DestLinkType=RelatedRecords&DestApp=WOS_CPL
7,WOS:000081973600046,Humanized nature. On the significance of landscape and weather in the English novel from Ann Radcliffe to Thomas Hardy,"Horatschek, A",CVL-1550-2022,1999,ARCHIV FUR DAS STUDIUM DER NEUEREN SPRACHEN UND LITERATUREN,236,196,199,4,,0003-8970,,,0,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000081973600046&DestLinkType=FullRecord&DestApp=WOS_CPL,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000081973600046&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000081973600046&DestLinkType=RelatedRecords&DestApp=WOS_CPL
8,WOS:000086292600015,Nature and culture in environmental ethics,"Rolston, H",FWL-6426-2022,1999,"PROCEEDINGS OF THE TWENTIETH WORLD CONGRESS OF PHILOSOPHY, VOL 1",,151,158,4,,,,1-889680-05-2,6,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000086292600015&DestLinkType=FullRecord&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000086292600015&DestLinkType=CitingArticles&DestApp=WOS_CPL,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000086292600015&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000086292600015&DestLinkType=RelatedRecords&DestApp=WOS_CPL
9,WOS:000081123600003,Henry Ward Ranger and the humanized landscape,"Ledes, AE",DCM-8747-2022,1999,MAGAZINE ANTIQUES,156,24,+,0,,0161-9284,,,0,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000081123600003&DestLinkType=FullRecord&DestApp=WOS_CPL,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000081123600003&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=dartrds_jeremy_01&SrcAuth=WosAPI&KeyUT=WOS:000081123600003&DestLinkType=RelatedRecords&DestApp=WOS_CPL
